"node_id","variable","n","prediction","is_leaf","split_value","improve","subgroup","rule"
9,"<leaf>",265,0.649670782232769,TRUE,NA,NA,"G2","exper>=5.5 & fatheduc< 8.5 & exper>=11.5"
6,"<leaf>",226,0.536643019991827,TRUE,NA,NA,"G5","exper< 5.5 & exper< 3.5"
10,"<leaf>",479,0.340436977629557,TRUE,NA,NA,"G3","exper>=5.5 & fatheduc>=8.5 & exper>=8.5"
8,"<leaf>",445,-0.512286653781411,TRUE,NA,NA,"G1","exper>=5.5 & fatheduc< 8.5 & exper< 11.5"
7,"<leaf>",306,2.55850317236529,TRUE,NA,NA,"G6","exper< 5.5 & exper>=3.5"
11,"<leaf>",499,1.08323968667962,TRUE,NA,NA,"G4","exper>=5.5 & fatheduc>=8.5 & exper< 8.5"
1,"exper",2220,0.699092074575937,FALSE,5.5,0.0176143290593595,NA,NA
1,"exper",2220,0.699092074575937,FALSE,6.5,0.00189619763006485,NA,NA
1,"exper",2220,0.699092074575937,FALSE,8.5,0.00628875208065477,NA,NA
1,"exper",2220,0.699092074575937,FALSE,3.5,0.0812298618236518,NA,NA
1,"exper",2220,0.699092074575937,FALSE,12.5,0.638625592417062,NA,NA
1,"exper",2220,0.699092074575937,FALSE,11.5,0.0207361314618367,NA,NA
5,"exper",978,0.71943345187903,FALSE,5.5,0.0176143290593595,NA,NA
5,"exper",978,0.71943345187903,FALSE,6.5,0.00189619763006485,NA,NA
5,"exper",978,0.71943345187903,FALSE,8.5,0.00628875208065477,NA,NA
5,"exper",978,0.71943345187903,FALSE,3.5,0.0812298618236518,NA,NA
5,"exper",978,0.71943345187903,FALSE,12.5,0.638625592417062,NA,NA
5,"exper",978,0.71943345187903,FALSE,11.5,0.0207361314618367,NA,NA
3,"exper",532,1.69959265650739,FALSE,5.5,0.0176143290593595,NA,NA
3,"exper",532,1.69959265650739,FALSE,6.5,0.00189619763006485,NA,NA
3,"exper",532,1.69959265650739,FALSE,8.5,0.00628875208065477,NA,NA
3,"exper",532,1.69959265650739,FALSE,3.5,0.0812298618236518,NA,NA
3,"exper",532,1.69959265650739,FALSE,12.5,0.638625592417062,NA,NA
3,"exper",532,1.69959265650739,FALSE,11.5,0.0207361314618367,NA,NA
4,"exper",710,-0.0785983149873858,FALSE,5.5,0.0176143290593595,NA,NA
4,"exper",710,-0.0785983149873858,FALSE,6.5,0.00189619763006485,NA,NA
4,"exper",710,-0.0785983149873858,FALSE,8.5,0.00628875208065477,NA,NA
4,"exper",710,-0.0785983149873858,FALSE,3.5,0.0812298618236518,NA,NA
4,"exper",710,-0.0785983149873858,FALSE,12.5,0.638625592417062,NA,NA
4,"exper",710,-0.0785983149873858,FALSE,11.5,0.0207361314618367,NA,NA
2,"fatheduc",1688,0.383768431455359,FALSE,15.5,0.520449897750511,NA,NA
2,"fatheduc",1688,0.383768431455359,FALSE,5.5,0.00501049900064867,NA,NA
2,"fatheduc",1688,0.383768431455359,FALSE,16.5,0.762162162162162,NA,NA
2,"fatheduc",1688,0.383768431455359,FALSE,10.5,0.0027806244656524,NA,NA
2,"fatheduc",1688,0.383768431455359,FALSE,12.5,0.00522352886018967,NA,NA
2,"fatheduc",1688,0.383768431455359,FALSE,8.5,0.0147204980183797,NA,NA
2,"fatheduc",1688,0.383768431455359,FALSE,16.5,0.590225563909774,NA,NA
2,"fatheduc",1688,0.383768431455359,FALSE,3.5,0.638028169014085,NA,NA
2,"fatheduc",1688,0.383768431455359,FALSE,8.5,0.00805614878737959,NA,NA
